Host Id,Host Since,Name,Neighbourhood ,Property Type,Review Scores Rating (bin),Room Type,Zipcode,Beds,Number of Records,Number Of Reviews,Price,Review Scores Rating
16941743,2014-06-18 00:00:00,MODERN LOFT  3 STOPS TO MANHATTAN!!,Queens,Apartment,95,Private room,11106,2,1,9,111,97
30418082,2015-04-01 00:00:00,Large Studio with sleeping alcove,Manhattan,Apartment,90,Entire home/apt,10028,1,1,5,148,92
694931,2011-06-13 00:00:00,Gorgeous Room avail for Winter Stay,Brooklyn,Apartment,80,Private room,11238,1,1,2,62,80
10373077,2013-12-01 00:00:00,"Sunny, Spacious, & Comfy 1 Bed Apt",Brooklyn,Apartment,85,Entire home/apt,11226,1,1,5,85,85
1498335,2011-12-12 00:00:00,Large two bedroom Grand Retreat!,Brooklyn,Apartment,85,Entire home/apt,11206,2,1,2,217,85
9358150,2013-10-10 00:00:00,"Sunny Private Room, Roof Access",Manhattan,Apartment,90,Private room,10030,1,1,7,96,92
28684307,2015-03-03 00:00:00,Living room in Roosevelt island,Manhattan,Apartment,100,Shared room,10044,1,1,8,77,100
22156164,2014-10-05 00:00:00,650sq ft. Upper East Side 1BDR,Manhattan,Apartment,100,Entire home/apt,10021,2,1,0,178,100
12553970,2014-02-24 00:00:00,Upper East Side Luxury Experience,Manhattan,Apartment,80,Private room,10128,1,1,1,132,80
20901391,2014-09-03 00:00:00,Luxury Private Bed in Williamsburg!,Brooklyn,Apartment,90,Private room,11211,1,1,3,74,93
18005396,2014-07-12 00:00:00,Private room in beautiful 3BR,Manhattan,Apartment,100,Private room,10002,1,1,6,96,100
3027978,2012-07-23 00:00:00,Live and Love at Park Ave!,Manhattan,Apartment,90,Entire home/apt,10016,4,1,4,383,92
7987183,2013-08-06 00:00:00,Great Stay Near Rockefeller Center,Manhattan,Apartment,,Entire home/apt,10019,1,1,0,845,
15765273,2014-05-20 00:00:00,Modern Studio at The Manhattan Club,Manhattan,Apartment,,Entire home/apt,10019,2,1,0,312,
24117644,2014-11-24 00:00:00,Private room in 1 bedroom apartment,Queens,Apartment,90,Private room,11106,1,1,8,85,93
889715,2011-07-29 00:00:00,Soho One Bedroom Apartment,Manhattan,Apartment,90,Entire home/apt,10013,1,1,0,140,93
6523373,2013-05-22 00:00:00,Studio apartment in Battery Park,Manhattan,Apartment,80,Entire home/apt,10004,1,1,0,157,80
15201466,2014-05-07 00:00:00,NYC Central Park cozy private room,Manhattan,Apartment,80,Private room,10025,1,1,14,76,84
36446263,2015-06-22 00:00:00,"Chic 1BR Apt, Steps to Time Square",Manhattan,Apartment,100,Entire home/apt,10018,2,1,0,213,100
15787004,2014-05-20 00:00:00,MARTIAL LOFT 2: DELOFTED (2nd room),Brooklyn,Apartment,100,Private room,11237,1,1,6,23,100
11191325,2014-01-10 00:00:00,"Cozy, newly renovated bedroom",Manhattan,Apartment,95,Private room,10029,1,1,16,97,95
3767858,2012-10-05 00:00:00,Master bedroom in Williamsburg,Brooklyn,Apartment,,Private room,11211,1,1,0,60,
8738313,2013-09-09 00:00:00,Adorable apartment-- Hell's Kitchen,Manhattan,Apartment,95,Shared room,10036,1,1,5,90,97
1254430,2011-10-06 00:00:00,Best of Brooklyn - Entire Apartment,Brooklyn,Apartment,,Entire home/apt,11217,1,1,0,139,
26377263,2015-01-19 00:00:00,Home 4 Medical Professionals- FarRk,Queens,Apartment,,Private room,11691,1,1,0,35,
21407286,2014-09-16 00:00:00,Serenity in the City,Manhattan,Apartment,95,Private room,10034,1,1,9,61,95
6862460,2013-06-11 00:00:00,"Charming Two Bedroom in Queens, NY",Queens,Apartment,,Entire home/apt,11372,2,1,3,135,
16070136,2014-05-27 00:00:00,Cozy bedroom in luxury building,Manhattan,Apartment,80,Private room,10031,1,1,0,43,80
1322749,2011-10-22 00:00:00,Great apt in great location! (#2),Manhattan,Apartment,90,Entire home/apt,10016,2,1,3,170,90
5719436,2013-04-01 00:00:00,"Lovely, Room/with Private bathroom",Brooklyn,Apartment,,Private room,11218,1,1,0,95,
8703609,2013-09-08 00:00:00,Spacious One Bedroom hideaway,Manhattan,Apartment,90,Entire home/apt,10035,1,1,5,168,90
16256940,2014-06-01 00:00:00,Two rooms in a shared apartment,Manhattan,Apartment,80,Private room,10033,2,1,2,82,80
6296054,2013-05-08 00:00:00,Penthouse duplex huge outdoor areas,Brooklyn,Apartment,95,Entire home/apt,11211,3,1,8,293,95
10535691,2013-12-09 00:00:00,East Village Bedroom,Manhattan,Apartment,70,Private room,10009,1,1,1,100,73
1821716,2012-02-27 00:00:00,Beautiful 1920s-Inspired Bedroom,Manhattan,Apartment,,Private room,10025,1,1,1,111,
36428201,2015-06-22 00:00:00,Sunny Bedroom in Lower Manhattan,Manhattan,Apartment,,Private room,10013,1,1,3,76,
25950194,2015-01-11 00:00:00,Beautiful modern 1-bed in Chelsea!,Manhattan,Apartment,,Entire home/apt,10011,1,1,0,147,
7130500,2013-06-26 00:00:00,*Furnished Studio in Flushing NYC*,Queens,House,95,Private room,11355,1,1,5,50,95
30854526,2015-04-08 00:00:00,? Best Private Room In Brooklyn ?,Brooklyn,Apartment,,Private room,11211,1,1,3,92,
9994679,2013-11-13 00:00:00,Charming Upper West Side street,Manhattan,Apartment,,Entire home/apt,10023,2,1,0,228,
3589753,2012-09-17 00:00:00,Private Room in St Marks Pl!,Manhattan,Apartment,100,Private room,10003,1,1,0,61,100
3250450,2012-08-13 00:00:00,Location Top Manhattan,Manhattan,Apartment,90,Private room,10024,1,1,3,58,93
27828348,2015-02-16 00:00:00,Bed Stuy Room w/onsuite bathroom,Brooklyn,Apartment,100,Private room,11221,1,1,1,63,100
19306227,2014-08-01 00:00:00,Shared Room in Penthouse Apartment.,Manhattan,Apartment,,Shared room,10009,3,1,0,77,
24304871,2014-11-29 00:00:00,Beautiful spacious room in Brooklyn,Brooklyn,Apartment,100,Private room,11226,1,1,2,43,100
4071690,2012-11-06 00:00:00,Cozy Chamber in Natural BK Loft!,Brooklyn,Loft,95,Private room,11221,1,1,9,61,98
5366434,2013-03-07 00:00:00,LUX studio in the heart o'Manhattan,Manhattan,Apartment,90,Entire home/apt,10017,2,1,13,233,91
5853457,2013-04-09 00:00:00,Great Room at Lower Manhattan NY WT,Manhattan,Apartment,90,Private room,10002,1,1,51,107,93
3900093,2012-10-17 00:00:00,Awesomely Sunny 1 Bedroom w Balcony,Brooklyn,Apartment,95,Entire home/apt,11211,1,1,3,144,96
3431048,2012-08-31 00:00:00,Stunning Studio in East Village NYC,Manhattan,Apartment,90,Entire home/apt,10009,1,1,26,205,90
37286,2009-09-09 00:00:00,Private bedroom-rooftop & terrace!,Brooklyn,Apartment,90,Private room,11206,1,1,30,80,91
124797,2010-05-14 00:00:00,Big Room in Beautiful Huge Apt,Manhattan,Apartment,90,Private room,10040,1,1,33,104,94
8054394,2013-08-09 00:00:00,Furnished studio at Time Square,Manhattan,Apartment,100,Private room,10019,1,1,3,171,100
6958520,2013-06-17 00:00:00,Heart of Lower East Side-AmazingApt,Manhattan,Apartment,80,Entire home/apt,10002,2,1,62,84,84
9072258,2013-09-26 00:00:00,Renovated Sweet Apt!Next to Subway!,Manhattan,Apartment,70,Entire home/apt,10030,3,1,11,147,73
418289,2011-03-02 00:00:00,Penthouse near Central Park !,Manhattan,Apartment,,Entire home/apt,10021,1,1,1,115,
2035326,2012-03-30 00:00:00,Spacious 1 bedroom in East Village,Manhattan,Apartment,,Entire home/apt,10009,1,1,0,237,
8053333,2013-08-09 00:00:00,ROOM ARTSY BUSHWICK! NEAR TRAIN,Brooklyn,Apartment,75,Private room,11206,1,1,9,46,77
13735165,2014-03-31 00:00:00,Cozy 2 Bed in the Heart of Chelsea!,Manhattan,Apartment,90,Entire home/apt,10011,2,1,14,382,92
35108057,2015-06-05 00:00:00,Spacious and Bright One Bedroom,Brooklyn,Apartment,90,Entire home/apt,11238,1,1,4,124,90
10450922,2013-12-05 00:00:00,Summer sublet sunny room in Harlem,Manhattan,Apartment,,Private room,10027,1,1,0,99,
23502626,2014-11-08 00:00:00,Brooklyn Beauty,Brooklyn,Apartment,,Entire home/apt,11201,1,1,0,248,
3603284,2012-09-18 00:00:00,Gorgeous 2br/heart of Williamsburg,Brooklyn,Apartment,85,Entire home/apt,11211,2,1,8,178,87
